user_id,provincia,review_texto
1,Luanda,"Mussulo é o paraíso, mas os preços são absurdos. Prepare-se para gastar muito."
2,Benguela,"A Praia Morena é um clássico. Sempre bom, mas muito movimentado aos fins de semana. O acesso ao Lobito é fácil."
3,Malanje,"Kalandula é de outro mundo! Absolutamente imperdível, mas a viagem de Luanda foi longa e cara. Valeu a pena pela natureza pura."
4,Namibe,"O deserto é mágico, uma experiência única. No entanto, o hotel era péssimo e a comida muito fraca. 5 estrelas pela paisagem, 1 estrela pelo serviço."
5,Huambo,"Adorei o Huambo. Muito acessível, pessoas simpáticas e o clima é óptimo. A cidade é limpa. Recomendo o Morro do Moco."
1,Luanda,"O trânsito de Luanda é horrível. A Fortaleza é interessante, mas a cidade em si é stressante e muito cara."
6,Benguela,"Fui ao Lobito para trabalho, mas adorei a Baía Azul. Comida excelente, bons preços."
7,Cuando Cubango,"Uma verdadeira aventura. Fomos ao parque e vimos tanta vida selvagem. É muito remoto e difícil de chegar, mas é esse o objectivo. Zero turistas."
8,Huíla,"A Serra da Leba é impressionante. A Tundavala também. Huíla tem as melhores paisagens de Angola. O custo foi razoável."
9,Zaire,"Visitar Mbanza Kongo foi uma lição de história. É um local calmo, muito cultural. Não espere praias ou luxo, é sobre história."
10,Bié,"Bié tem paisagens lindas, especialmente as rochas. É muito barato e tranquilo. Perfeito para fugir de tudo. Comida local óptima."
3,Huíla,"Gostei da Huíla, mas achei as cataratas de Kalandula (Malanje) muito mais impressionantes."
11,Luanda,"Ilha do Mussulo de novo. É o meu escape de fim-de-semana. Sim, é caro, mas a conveniência de estar perto da capital vale a pena."
5,Benguela,"Não gostei de Benguela. Muita confusão, praias sujas. Prefiro a calma do planalto (Huambo)."
1,Benguela,"A marginal de Benguela é óptima para passear ao fim do dia."
12,Malanje,"As Pedras Negras de Pungo Andongo são místicas. Um lugar com uma energia incrível. Mais interessante que as próprias quedas."
2,Luanda,"Miradouro da Lua é bonito para fotos, mas é só. Muito rápido de ver."
7,Moxico,"Fomos ao Lago Dilolo. É gigante. A viagem foi uma odisseia, mas a recompensa é indescritível. Natureza no seu estado mais puro."
10,Huambo,"Voltei ao Huambo. Continua a ser o meu destino preferido para relaxar e gastar pouco."
4,Namibe,"A excursão ao Arco do Carvalhão foi o ponto alto. O deserto que encontra o mar é algo que nunca esquecerei. Acessibilidade muito difícil."
6,Huíla,"Lubango é uma cidade agradável. O Cristo Rei tem uma vista boa. A comida é boa e barata."
8,Cabinda,"A Floresta do Maiombe é densa e impressionante. Parece que estás noutro mundo. Muito húmido."
3,Namibe,"O deserto é lindo, mas não se compara à imensidão verde de Malanje. Prefiro natureza com água."
9,Zaire,"A foz do Rio Congo é um espectáculo. Mbanza Kongo precisa de mais infraestrutura para turistas."
12,Uíge,"Surpreendido com o Uíge. As fazendas de café são muito interessantes. Um destino fora da rota que vale a pena."
5,Cuanza Sul,"As praias do Cuanza Sul são boas e mais limpas que as de Benguela. Bom peixe."
1,Luanda,"Fortaleza de São Miguel está bem preservada. Boa vista."
7,Cuando Cubango,"Esta província é o futuro do turismo de aventura em Angola. Pura selva."
10,Bié,"O Cuito é uma cidade com muita história. As marcas da guerra ainda são visíveis, é comovente."
11,Benguela,"Praias, praias e mais praias. É para isso que se vai a Benguela."